代码	名称	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21
29	深深房Ａ	1.33	0.33	-1.44	-0.02	-0.92	1.11	0.95	0.12	11.1	-12.85	8.37	-0.67	-0.67	-16.66	23.64	-11.39	-40.31	89.76	3.43	15.8	6.61
509	同人华塑	0.76	0.73	-4.96	0.02	-1.42	1.57	1.86	0.12	-10.38	4.91	31.44	0.6	0.37	217.62	218.61	31.3	282.07	68.22	2.86	11.85	9.59
537	南开戈德	1.21	1.14	-4.72	-0.02	-0.72	1.03	0.53	0.23	-46.59	-28.03	0.47	-0.62	-0.64	133.02	56.28	-32.22	-46.59	98.7	1.87	10.94	13.27
592	st昌源	0.79	0.6	-0.19	-0.02	-1.96	0.03	0.86	0.11	-96.94	-993.95	40.57	-0.7	-0.7	-96.89	-1841.7	-33.45	-96.94	57.86	3.8	237.64	797.55
880	山东巨力	0.75	0.58	7.55	-0.35	-0.36	1.78	1.02	0.11	-28.02	0.24	7.59	0.11	0.07	-13.35	28.88	27.25	24.36	92.4	3.23	3.46	1.1
927	一汽夏利	1.11	1.01	7.27	0.01	-0.26	1.67	0.82	0.1	9.34	0.87	7.1	0.18	0.18	10.32	-76.29	-5.76	-48.34	88.59	3.94	4.05	2.03
993	闽东电力	1.19	1.01	-12.73	-0.03	-0.33	4.5	3.75	0.09	-7.01	-23.16	9.73	-0.32	-0.36	-33.57	-557.39	2.44	-88.61	89.73	0.57	44.33	19.72
200041	深本实b	1.04	0.91	-17.41	-0.3	-0.3	1.78	0.49	0.52	-14.37	1.41	34.91	0.06	0.04	-21.27	4.25	6.11	-25.12	64.79	7.75	18.72	6.44
600090	st啤酒花	0.22	0.16	0.15	-0.03	-3.28	-2.45	0.1	0.49	-253.8	-27.05	32.74	-1.23	-0.9	-71.06	-11.4	-47.84	-44.79	55.56	26.81	33.3	11.31
600181	云大科技	1.57	1.18	-3.77	-0.08	-0.55	1.84	1.25	0.14	-30.63	-77.83	15.55	-1.58	-1.45	-63.56	-220.84	-9.97	-81.7	83.44	23.4	40.51	30.56
600522	中天科技	1.98	1.28	-28.33	0.01	0.16	2.71	1.4	0.15	-1.39	2.27	19.2	0.23	0.16	18.01	-4.51	10.12	-2.53	80.8	9.44	6.43	1.6
600643	爱建股份	1.36	0.82	7.47	0.05	-0.59	3.37	2.06	0.9	-13.76	6.38	17.26	1.65	0.75	491.52	311.79	-12.49	901.91	78.15	1.37	2.65	1.3
600698	st轻骑	0.92	0.82	-4.03	0	-1.91	0.37	1.27	0.06	122.27	0.83	8.91	0.01	0.11	38.85	229.36	86.9	-3.42	90.07	4.32	5.46	-0.3
869	张裕A	4.037	3.49	49.27	0.24	1.31	5.27	2.48	0.48	-7.25	17.86	53.64	5.77	3.82	22.71	25.77	5.17	30.99	38.06	20.3	7.15	-0.74
922	阿继电器	1.95	1.43	-72.04	0.01	0.09	1.9	0.62	0.14	-38.3	6.5	37.67	0.36	0.33	-7.19	-35.42	5.78	-17.14	62.33	7.76	20.4	2.66
523	广州浪奇	1.91	1.38	-16.2	0.01	-0.47	1.71	0.72	0.45	0.6	0.29	14.5	0.11	0.1	61.5	-11.09	0.15	-5.12	85.04	8.99	5.61	-0.2
705	浙江震元	1.47	0.93	-3.68	0.02	0.45	3.56	1.84	0.26	3.44	1.04	13.19	0.4	0.25	19.88	-32.67	1.8	-25.33	86.48	4.37	6.87	0.29
518	四环生物	5.47	4.25	61.7	0.04	0.02	1.1	0	0	-47.48	32.85	46.64	4.54	3.28	10.59	99.3	18.05	38.88	52.27	0.7	10.12	0.97
9	深宝安A	1.49	0.35	0.05	0.01	-0.59	1.19	0.7	0.35	-0.1	1.45	37.3	0.24	0.06	38.92	-32.2	4.71	28.6	59.93	13.26	15.48	10.2
1	深发展A	0.78	0.78	1.58	0.11	0.2	2.15	0.81	0.08	6.57	11.2	36.78	0.11	0.11	41.47	39.82	30.79	80.33	0	26.38	0	0
578	数码网络	85	0.63	2.52	0.04	0.1	1.6	0.26	0.23	6.63	0.12	8.86	0.08	0.03	-10.08	111.57	1.41	8.52	91.06	2.84	4.65	1.5
758	中色建设	2.74	2.39	-27.9	0.02	0.21	2.61	1.31	0.14	9.92	11.38	13.7	0.38	0.39	5.08	260.93	22.84	9.92	85.97	2.95	26.44	2.29
597	东北药	1.24	1	3	0.01	-0.02	2.92	1.92	0.02	1.25	0.67	21.45	0.16	0.11	-4.64	56.87	-11.21	-7.17	78.32	7.46	9.05	4.18
